cluster_id,classification,cluster_size,paper_id,dblp_key,title,authors,year,pages,doi,event,retained_in_frozen_snapshot,retention_reason
ta-08dd933c22cd,exact_bibliographic_duplicate_candidate,2,1249056,conf/sp/JiangZXSLY23,AEM: Facilitating Cross-Version Exploitability Assessment of Linux Kernel Vulnerabilities.,"Zheyue Jiang, Yuan Zhang 0009, Jun Xu 0024, Xinqian Sun, Zhuang Liu, Min Yang 0002",2023,2122-2137,10.1109/sp46215.2023.10179305,IEEE S&P,yes,frozen DBLP-record denominator; no silent collapse
ta-08dd933c22cd,exact_bibliographic_duplicate_candidate,2,1249057,conf/sp/JiangZXSLY23a,AEM: Facilitating Cross-Version Exploitability Assessment of Linux Kernel Vulnerabilities.,"Zheyue Jiang, Yuan Zhang 0009, Jun Xu 0024, Xinqian Sun, Zhuang Liu, Min Yang 0002",2023,2122-2137,10.1109/sp46215.2023.10179286,IEEE S&P,yes,frozen DBLP-record denominator; no silent collapse
ta-0f6a54ddfa24,exact_bibliographic_duplicate_candidate,2,190864,conf/sp/HongJKY0J25,CMASan: Custom Memory Allocator-aware Address Sanitizer.,"Junwha Hong, Wonil Jang, Mijung Kim, Lei Yu, Yonghwi Kwon 0001, Yuseok Jeon",2025,740-757,10.1109/sp61157.2025.00074,IEEE S&P,yes,frozen DBLP-record denominator; no silent collapse
ta-0f6a54ddfa24,exact_bibliographic_duplicate_candidate,2,190865,conf/sp/HongJKY0J25a,CMASan: Custom Memory Allocator-Aware Address Sanitizer.,"Junwha Hong, Wonil Jang, Mijung Kim, Lei Yu, Yonghwi Kwon 0001, Yuseok Jeon",2025,740-757,10.1109/sp61157.2025.00110,IEEE S&P,yes,frozen DBLP-record denominator; no silent collapse
ta-c9df7cf368e8,exact_bibliographic_duplicate_candidate,2,1249118,conf/sp/PearceTAKD23,Examining Zero-Shot Vulnerability Repair with Large Language Models.,"Hammond Pearce, Benjamin Tan 0001, Baleegh Ahmad, Ramesh Karri, Brendan Dolan-Gavitt",2023,2339-2356,10.1109/sp46215.2023.10179420,IEEE S&P,yes,frozen DBLP-record denominator; no silent collapse
ta-c9df7cf368e8,exact_bibliographic_duplicate_candidate,2,1249119,conf/sp/PearceTAKD23a,Examining Zero-Shot Vulnerability Repair with Large Language Models.,"Hammond Pearce, Benjamin Tan 0001, Baleegh Ahmad, Ramesh Karri, Brendan Dolan-Gavitt",2023,2339-2356,10.1109/sp46215.2023.10179324,IEEE S&P,yes,frozen DBLP-record denominator; no silent collapse
ta-949d71fa2305,exact_bibliographic_duplicate_candidate,2,1249186,conf/sp/YavarzadehTNST23,"Half&Half: Demystifying Intel's Directional Branch Predictors for Fast, Secure Partitioned Execution.","Hosein Yavarzadeh, Mohammadkazem Taram, Shravan Narayan, Deian Stefan, Dean M. Tullsen",2023,1220-1237,10.1109/sp46215.2023.10179415,IEEE S&P,yes,frozen DBLP-record denominator; no silent collapse
ta-949d71fa2305,exact_bibliographic_duplicate_candidate,2,1249187,conf/sp/YavarzadehTNST23a,"Half&Half: Demystifying Intel's Directional Branch Predictors for Fast, Secure Partitioned Execution.","Hosein Yavarzadeh, Mohammadkazem Taram, Shravan Narayan, Deian Stefan, Dean M. Tullsen",2023,1220-1237,10.1109/sp46215.2023.10179309,IEEE S&P,yes,frozen DBLP-record denominator; no silent collapse
ta-d50e38dcf2c3,exact_bibliographic_duplicate_candidate,2,1248986,conf/sp/BlassK23,Private Collaborative Data Cleaning via Non-Equi PSI.,"Erik-Oliver Blass, Florian Kerschbaum",2023,1419-1434,10.1109/sp46215.2023.10179396,IEEE S&P,yes,frozen DBLP-record denominator; no silent collapse
ta-d50e38dcf2c3,exact_bibliographic_duplicate_candidate,2,1248987,conf/sp/BlassK23a,Private Collaborative Data Cleaning via Non-Equi PSI.,"Erik-Oliver Blass, Florian Kerschbaum",2023,1419-1434,10.1109/sp46215.2023.10179337,IEEE S&P,yes,frozen DBLP-record denominator; no silent collapse
